currency,quarter,fx_usd
AUD,1991q2,1.303271210738955
AUD,1991q3,1.253918495297806
AUD,1991q4,1.311991603253739
AUD,1992q1,1.297858533419857
AUD,1992q2,1.338329764453962
AUD,1992q3,1.402131239484016
AUD,1992q4,1.45032632342277
AUD,1993q1,1.417434443656981
AUD,1993q2,1.502629601803156
AUD,1993q3,1.547987616099071
AUD,1993q4,1.472103636095981
AUD,1994q1,1.4194464158978
AUD,1994q2,1.372683596431023
AUD,1994q3,1.350986219940557
AUD,1994q4,1.289656951250967
AUD,1995q1,1.361470388019061
AUD,1995q2,1.407855835562438
AUD,1995q3,1.323276432446738
AUD,1995q4,1.346257404415724
AUD,1996q1,1.277302337463277
AUD,1996q2,1.268874508311128
AUD,1996q3,1.263583522870862
AUD,1996q4,1.259128682951398
AUD,1997q1,1.272750413643885
AUD,1997q2,1.326259946949602
AUD,1997q3,1.379120121362571
AUD,1997q4,1.537515375153752
AUD,1998q1,1.509661835748792
AUD,1998q2,1.610824742268041
AUD,1998q3,1.684919966301601
AUD,1998q4,1.638538423726037
AUD,1999q1,1.576541068894845
AUD,1999q2,1.498351813005694
AUD,1999q3,1.533742331288344
AUD,1999q4,1.522765341860819
AUD,2000q1,1.647175094712568
AUD,2000q2,1.673920321392702
AUD,2000q3,1.842299189388357
AUD,2000q4,1.789549033643522
AUD,2001q1,2.059308072487644
AUD,2001q2,1.953506544246923
AUD,2001q3,2.035416242621616
AUD,2001q4,1.96270853778214
AUD,2002q1,1.876876876876877
AUD,2002q2,1.774937877174299
AUD,2002q3,1.842978252856616
AUD,2002q4,1.780626780626781
AUD,2003q1,1.654259718775848
AUD,2003q2,1.484560570071259
AUD,2003q3,1.470372004117042
AUD,2003q4,1.329787234042553
AUD,2004q1,1.304121022430881
AUD,2004q2,1.43000143000143
AUD,2004q3,1.374192661811186
AUD,2004q4,1.281558374983981
AUD,2005q1,1.29366106080207
AUD,2005q2,1.311475409836066
AUD,2005q3,1.312335958005249
AUD,2005q4,1.364628820960699
AUD,2006q1,1.395673412421493
AUD,2006q2,1.34752728742757
AUD,2006q3,1.340302908457311
AUD,2006q4,1.268230818008878
AUD,2007q1,1.236705416769726
AUD,2007q2,1.177301624676242
AUD,2007q3,1.12625295641401
AUD,2007q4,1.142726545537653
AUD,2008q1,1.095170298981492
AUD,2008q2,1.043187982474442
AUD,2008q3,1.261988894497728
AUD,2008q4,1.423082396470756
AUD,2009q1,1.44654997830175
AUD,2009q2,1.240079365079365
AUD,2009q3,1.132759401903036
AUD,2009q4,1.113957892391668
AUD,2010q1,1.090274749236808
AUD,2010q2,1.189343482397716
AUD,2010q3,1.034019232757729
AUD,2010q4,.9772305286817159
AUD,2011q1,.9681479330041631
AUD,2011q2,.9326618168252191
AUD,2011q3,1.03498240529911
AUD,2011q4,.9795278675678324
AUD,2012q1,.9665571235260004
AUD,2012q2,.9767532721234615
AUD,2012q3,.9635767970707265
AUD,2012q4,.9620935154897055
AUD,2013q1,.9597850081581725
AUD,2013q2,1.094331363536879
AUD,2013q3,1.073306858430825
AUD,2013q4,1.12145340361108
AUD,2014q1,1.079447322970639
AUD,2014q2,1.060108131029365
AUD,2014q3,1.143249113981937
AUD,2014q4,1.223241590214067
AUD,2015q1,1.31457867753385
AUD,2015q2,1.297521733489036
AUD,2015q3,1.424907381020234
AUD,2015q4,1.372495196266813
AUD,2016q1,1.305994514823038
AUD,2016q2,1.342101731311233
AUD,2016q3,1.304801670146138
AUD,2016q4,1.387347391786903
AUD,2017q1,1.310787783457858
AUD,2017q2,1.300559240473403
AUD,2017q3,1.276487107480214
AUD,2017q4,1.280573697016263
AUD,2018q1,1.302252897512697
AUD,2018q2,1.350438892640108
AUD,2018q3,1.384274640088593
AUD,2018q4,1.418640941977586
AUD,2019q1,1.40924464487035
AUD,2019q2,1.424501424501425
AUD,2019q3,1.481481481481481
AUD,2019q4,1.424298532972511
AUD,2020q1,1.631055292774425
AUD,2020q2,1.448645516442127
AUD,2020q3,1.396453009356235
BRL,2007q1,2.0594
